1403637131.588319063 -0.00019 0.00001 -0.00035 0.78692 0.07823 0.60345 -0.10242
1403637131.688318968 -0.00013 0.00012 -0.00031 0.78696 0.07857 0.60330 -0.10275
1403637131.788319111 -0.00013 0.00001 -0.00032 0.78695 0.07852 0.60338 -0.10232
1403637131.888319016 -0.00013 -0.00004 -0.00029 0.78699 0.07819 0.60344 -0.10196
1403637131.988318920 -0.00017 -0.00003 -0.00032 0.78706 0.07835 0.60335 -0.10180
1403637132.088319063 -0.00007 -0.00016 -0.00028 0.78700 0.07847 0.60352 -0.10122
1403637132.188318968 -0.00005 -0.00022 -0.00025 0.78702 0.07838 0.60353 -0.10103
1403637132.288319111 -0.00005 -0.00022 -0.00025 0.78704 0.07868 0.60348 -0.10095
1403637132.388319016 -0.00005 0.00000 -0.00024 0.78693 0.07799 0.60357 -0.10178
1403637132.488318920 -0.00010 -0.00018 -0.00027 0.78701 0.07838 0.60355 -0.10098
1403637132.588319063 0.00004 -0.00036 -0.00026 0.78698 0.07890 0.60363 -0.10036
1403637132.688318968 0.00004 -0.00013 -0.00021 0.78701 0.07827 0.60352 -0.10125
1403637132.788319111 0.00008 -0.00004 -0.00016 0.78694 0.07824 0.60359 -0.10144
1403637132.888319016 0.00015 -0.00014 -0.00004 0.78682 0.07781 0.60374 -0.10174
1403637132.988318920 0.00028 0.00004 0.00012 0.78704 0.07692 0.60349 -0.10219
1403637133.088319063 0.00009 0.00005 0.00052 0.78688 0.07715 0.60373 -0.10187
1403637133.188318968 -0.00201 -0.00082 0.00261 0.78584 0.07731 0.60484 -0.10321
1403637133.288319111 -0.00303 -0.00237 0.00593 0.78628 0.07902 0.60516 -0.09646
1403637133.388319016 -0.00453 -0.00406 0.01413 0.78846 0.07668 0.60345 -0.09111
1403637133.488318920 -0.00642 -0.00515 0.02253 0.79320 0.07375 0.59790 -0.08892
1403637133.588319063 -0.00596 -0.00791 0.02694 0.79997 0.06923 0.58964 -0.08702
1403637133.688318968 -0.00626 -0.01270 0.03587 0.80427 0.06742 0.58454 -0.08315
1403637133.788319111 -0.00797 -0.01787 0.05697 0.80689 0.06698 0.58108 -0.08234
1403637133.888319016 -0.00728 -0.02145 0.09465 0.81366 0.05814 0.57372 -0.07364
1403637133.988318920 -0.00438 -0.02277 0.15160 0.81993 0.05394 0.56550 -0.07080
1403637134.088319063 -0.00119 -0.02362 0.21748 0.82097 0.05734 0.56395 -0.06844
1403637134.188318968 0.00217 -0.02477 0.28328 0.81844 0.06395 0.56746 -0.06366
1403637134.288319111 0.00575 -0.02425 0.34417 0.80997 0.06797 0.57907 -0.06334
1403637134.388319016 0.00330 -0.02414 0.38930 0.79708 0.06511 0.59719 -0.06159
1403637134.488318920 0.00329 -0.02287 0.40750 0.79012 0.05573 0.60712 -0.06341
1403637134.588319063 0.00324 -0.02313 0.39270 0.79039 0.04778 0.60796 -0.05821
1403637134.688318968 0.00326 -0.02682 0.34623 0.79548 0.04556 0.60251 -0.04594
1403637134.788319111 0.00549 -0.03015 0.27582 0.80656 0.04808 0.58758 -0.04351
1403637134.888319016 0.00325 -0.03356 0.20134 0.81923 0.04496 0.57005 -0.04339
1403637134.988318920 0.00031 -0.03584 0.13616 0.82732 0.03953 0.55829 -0.04789
1403637135.088319063 -0.00136 -0.03818 0.09099 0.82946 0.03850 0.55474 -0.05265
1403637135.188318968 -0.00452 -0.03927 0.06742 0.83387 0.04175 0.54801 -0.05104
1403637135.288319111 -0.00731 -0.04022 0.07580 0.84255 0.04408 0.53469 -0.04773
1403637135.388319016 -0.00660 -0.04120 0.12619 0.84202 0.04293 0.53601 -0.04309
1403637135.488318920 -0.00391 -0.04227 0.20367 0.83023 0.04137 0.55495 -0.03213
1403637135.588319063 -0.00115 -0.04214 0.29103 0.81569 0.03663 0.57703 -0.01866
1403637135.688318968 0.00080 -0.03979 0.37346 0.80201 0.02988 0.59646 -0.01082
1403637135.788319111 0.00082 -0.03674 0.43734 0.79048 0.02344 0.61184 -0.01567
1403637135.888319016 0.00193 -0.03634 0.46841 0.78507 0.01983 0.61873 -0.02126
1403637135.988318920 0.00555 -0.03764 0.46076 0.78624 0.01888 0.61721 -0.02277
1403637136.088319063 0.01045 -0.03712 0.41651 0.79155 0.02118 0.61043 -0.01956
1403637136.188318968 0.01608 -0.03659 0.34338 0.79984 0.02228 0.59964 -0.01391
